Value00,Value01,Value02,Value03,Value04,Value05,Value06,Value07,Value08,Value09,TGT0,TGT1,TGT2,TGT3
-0.89,-1.65,-0.36,0.05,-2,-0.4,0.22,-1.02,-0.47,0.24,-151.02,-145.64,-191.16,-254.27
-0.12,-0.05,-0.5,-0.27,1.34,0.04,0.46,1.71,-0.77,-0.43,204.59,140.69,170.49,102.72
-1.18,0.83,-1.08,0.31,1.06,0.78,-1.81,0.41,-1.63,-0.52,30.46,-54.97,-78.88,-50.1
0.13,0.74,-1.01,0.21,-0.57,-0.47,0.27,2.55,1.1,0.06,322.56,243.07,397.3,334.42
1.07,1.24,0.2,-0.9,-1.13,-1,-0.58,-1.03,-0.9,0.29,29.58,12.92,32.41,-19.14
-1.38,-1.36,0.78,0.18,-0.52,-0.1,0.95,-0.9,1.39,0.53,36.68,94.05,48.84,21.67
0.63,0.87,-0.41,0.67,0.02,-1.09,-0.28,0.13,-0.14,-0.52,55.13,79.66,154.31,112.54
0.87,-2.83,1.12,-0.59,0.76,-1.61,-0.66,-0.04,2.38,2.12,-103.69,230.38,221.16,152.11
0.85,0.89,-0.2,0.85,1.58,-0.08,-1.23,0.13,-0.88,-0.52,70.41,112.09,135.97,195.46
2.07,-1.05,-2.41,-0.52,-0.45,0.01,-0.94,-0.69,-0.02,0.2,-94.38,-61.96,-144.94,-59.36
0.07,0.03,0.19,1.46,3.01,0.12,-0.22,0.06,-0.23,-0.09,135.1,255.75,196.26,257.07
-0.26,1.19,0.62,-0.24,0.08,-0.31,0.85,0.57,-2.13,1.02,332.06,232.56,207.26,82.25
0.76,-0.95,-0.7,1.1,0.21,1.01,0.1,0.5,0.58,-1.47,50.52,63.74,105.67,231.59
0.09,0.84,1.93,-0.5,0.95,-1.54,-1.23,1.19,0.32,-1,1.12,101.81,309.76,184.57
-0.18,0.27,-0.06,0,-0.32,0.49,-0.21,1.7,1.07,-1.65,136.76,80.47,242.11,264.84
-0.61,-0.38,-0.62,0.67,0.11,-0.28,1.58,-1.2,-0.08,-0.07,69.06,64.75,-42.32,-59.51
-0.74,0.85,0.35,-1.02,-0.53,0.85,-0.42,-1.03,0.98,0.28,148.56,82.96,36.44,122.83
-1.21,-0.28,-0.45,1.07,-0.69,0.16,-0.44,0.58,0.35,-0.36,47.19,23.2,89.38,77.75
-0.74,0.32,-0.31,-0.34,0.81,0.61,-0.78,-0.92,1.51,-0.61,7.73,37.14,-14.65,97.59
-0.97,-0.61,0.21,-1.09,-1.31,-0.03,0.24,0.07,-0.21,-0.93,-41.18,-110.79,-77.53,-165.88
2.29,-0.19,2.64,-0.92,0.54,-0.4,1.6,-1.83,-0.7,-0.41,95.67,207.35,152.65,170.78
1.17,-1.58,1.24,0.28,0.47,-1.1,-1.28,0.65,0.45,0.44,-91.95,129.85,226.22,180.69
-0.21,0.05,-0.17,0.82,-1.65,-0.7,-0.71,-0.16,0.05,0.97,43.47,84.46,122.74,83.55
-0.76,-0.34,-2.21,-0.69,0.45,0.09,1.33,1.05,-0.56,-0.54,158.93,-5.91,-51.97,-139.74
1.14,0.71,1.84,0.61,0.27,0.77,-1.74,0.87,-2.26,0.03,169.14,198.95,278.69,334.06
-0.05,-0.96,1.74,0.14,-0.05,0.11,-1.95,0.01,-0.58,-0.78,-174.61,-44.27,38.59,60.48
0.02,-1.1,0.27,-0.45,0.72,0.02,0.72,1.85,-0.21,-0.1,178.64,177.53,223.4,128.07
-1.46,2.27,-0.15,2.17,0.9,-0.75,0.2,-0.98,-1.57,0.5,209.3,177.42,120.6,67.36
-0.99,1.5,0.42,-0.51,-2.05,-0.15,-0.34,-1.66,-0.09,-0.26,32.64,-63.55,-52.5,-65.77
-1.62,0.69,-1.16,-1,1.32,-0.6,0.18,1.05,-2.26,0.06,119.14,-22.77,-84.59,-260.21
-0.34,-0.31,0.54,0.02,0.14,0.49,-0.52,0.87,1.27,-0.45,111.2,144.32,226.66,259.38
0.71,-0.26,-0.64,-2.03,-0.42,-1.11,0.61,-0.65,-0.16,0.42,12.34,-18.64,-69.19,-181.59
0.69,-0.6,-0.99,0.37,0.64,0.42,0.27,-3.12,0.64,0.71,-33.44,60.37,-177.75,-4.42
-2.16,-1.64,-1.32,-0.76,-0.53,1.16,0.41,0.29,-0.15,-0.35,-6.42,-125.07,-218.87,-248.68
-0.78,-0.56,-0.27,0.44,0.7,-1.03,-1.19,-0.16,1.25,-0.74,-180.29,-45.5,6.73,-29.72
-0.96,-0.21,0.84,-2.52,-1.23,-1.55,-0.66,-0.02,0.1,0.09,-118.63,-134.72,-61.4,-264.24
-0.13,-0.08,-1.16,0.19,0.77,0.25,1.82,-0.63,0.99,0.42,246.51,209.02,92,134.86
-0.51,-1.17,1.52,0.16,0.52,-0.43,0.1,-0.85,0.41,-0.12,-70.65,75.79,54.13,22.77
0.42,0.78,-0.49,-1.42,-0.54,-2.07,-1.16,0.43,0.68,1.49,55.15,82.65,163.97,3.85
0.22,-1.4,1.19,0.46,1.51,1.59,1.08,-0.04,1.38,0.51,275.82,368.99,279.99,429.06
-0.06,-0.26,1.11,-0.93,-0.25,0.59,-1.33,-0.68,-0.41,1.48,79.3,122.73,56.21,95.89
-1.06,-1.48,1.13,1.74,1.56,0.36,1.67,-0.74,0.13,-1.91,-40.23,70.33,26.92,61.73
-0.83,-0.55,-1.77,-0.11,0.57,0.94,0.31,0.23,0.46,0.54,173.55,95.83,-7.1,37.38
-1.19,-2.16,-0.05,-0.47,1.14,0.68,-1.07,1.07,0.36,-0.44,-97.31,-31.65,-50.41,-45.16
-1.18,0.61,-1.19,0.75,0.77,0.45,-2.66,-0.68,1.66,-1.76,-207.72,-142.59,-103.29,47.93
0.79,0.34,-1.55,-1.46,0.13,-0.59,0.64,-0.27,0.74,0.86,175.61,118.15,54.96,24.15
-0.31,-0.99,0.15,0.81,-0.74,1.1,-0.65,-0.19,-0.41,0.15,30.7,55.52,24.38,99.96
0.71,0.27,0.16,-1.41,-0.29,0.8,-0.94,-0.11,0.5,-1.39,15.59,-37.43,11.74,106.05
-0.42,0.57,-0.97,1.42,0.68,-0.51,-0.6,-0.77,-1.17,0.99,74.16,99.61,14.99,-2.26
-0.39,0.13,-1.75,-1.05,-0.6,1.21,0.78,0.43,0.78,1.34,357.5,197.19,92.67,135.9
-0.07,0.98,1.54,0.89,-1.47,-1.02,1.95,0.11,-0.91,0.18,284.51,247.93,331.13,186.49
0.52,0.45,-2.32,0.29,0.32,-1.32,0.23,-0.37,-0.95,-0.07,8.1,-31.71,-85.75,-156.58
-0.16,0.1,0.14,-1.22,-0.74,1.27,0.24,-1.7,0.73,-0.48,58.63,-5.96,-96.79,29.14
1.56,-0.91,1.67,-1,0.16,-1.68,-0.79,0.21,0.1,0.22,-87.06,97.82,196.32,82.54
-0.21,-1.17,0.66,-0.33,0.82,-0.48,-1.25,-1.71,0.61,0.59,-181.45,-2.4,-104.28,-70.66
-0.34,-0.06,2.34,0.1,-0.39,-1.57,1.52,1.23,0.67,-1.45,92.15,155.74,372.15,181.03
0.27,-0.4,1.9,0.78,-0.52,-0.63,-1.1,-0.39,0,-0.74,-109.3,32.92,145.62,140.33
1.6,-0.93,0.1,1.27,0.1,1.57,0.33,0.73,-2.75,-1.28,130.79,94.39,76.02,177
0.19,-0.12,-1.16,-0.4,-0.09,-0.96,0.88,-0.78,-0.11,0.46,54.41,42.45,-44.77,-108.45
-0.42,1.07,-0.8,1.2,0.2,0.28,-1.2,0.08,1.41,0.54,178.83,195.96,226.93,325.31
-0.22,-0.39,-0.96,0.22,-0.07,0.21,-0.2,-0.49,1.34,-0.15,22.68,47.04,16.93,85.95
0.54,0.37,-0.46,-0.71,-1.17,-0.72,-1.3,-0.75,0.25,-0.09,-86.19,-71.39,-29.22,-40.97
-0.81,-1.06,0.18,0.06,1.07,0.89,0.02,-0.14,0.54,0.05,77.38,111.35,39.8,100.69
2.48,-0.87,0.49,-0.66,0.44,-2.53,1.25,0.68,-0.82,-1.15,-61.99,50.92,156.47,-21.7
0.19,1.91,-0.21,-1.84,-0.23,-0.59,0.5,1.26,-0.86,0.55,358.08,181.09,236.51,94.5
-1.94,1.64,-0.22,-2.12,-1.1,0.42,0.9,0.43,-0.08,0.53,337.93,83.9,64.3,-35.92
-0.33,-0.08,-0.17,3.21,1.78,0.44,-0.23,-0.7,0.53,-1.73,-31.41,111.02,113.18,271.14
0.8,-1.63,0.14,-0.02,-0.73,0.55,-0.18,0.14,0.13,0.16,23.64,66.17,71.85,123.22
-1.73,-1.26,0.65,-0.31,-1.99,-0.28,0.04,-1.11,-1,1.2,-68.88,-68.43,-153.15,-262.39
0.45,-0.85,-0.34,-0.01,0.92,-0.16,1.11,0.38,1.62,-0.53,114.05,172.88,183.05,200.71
2.11,-1.22,0.02,1.01,0.5,-0.87,0.5,0.99,0.66,1.36,205.21,364.96,396.63,388.83
0.18,0.67,-0.65,-1.62,1.11,-2.06,1.41,0.86,-0.39,0.78,211.38,169.97,158.18,-71.14
0.5,-0.72,-0.04,-0.26,0.4,-0.51,-1.14,0.81,0.55,-1.23,-116.77,-32.12,73.28,55.42
0.68,1.62,-0.13,0.66,1.83,-2.53,-0.35,-0.36,0.95,-1.09,-37.23,101.89,207.05,121.64
-1.43,1.07,1.34,-0.01,0.5,1.73,-0.63,-1.1,0.57,-0.62,162.34,114.09,75.12,228.8
-1.06,0.89,0.97,0.2,-1.72,-1.66,0.14,-0.82,-0.79,0.13,-9.67,-26.03,48.81,-124.33
-0.6,0.62,1.36,-0.22,-0.77,0.44,-1.51,-0.29,1.38,-1.02,-10.36,18.89,134.43,214.4
-1.59,-0.1,-1.06,0.4,0.09,-1.4,1.81,-0.37,-0.1,-0.31,37.91,1.1,-47.67,-206.69
-0.39,-0.89,-0.51,-0.39,0.18,1.24,-1.6,0.81,0.59,-0.93,-39.76,-43.75,-6.96,90.06
-0.86,-0.48,0.52,1.37,1.19,0.2,-0.25,0.03,-1.92,-1.9,-95.06,-65.57,-49.95,-69.92
0.28,-0.04,-0.19,0.78,0.55,-1.61,-1.28,0.95,0.1,1.67,72.93,209.72,271.74,171.66
1.04,-0.95,-0.51,0.41,0.15,-1.98,-0.04,0.77,-0.42,0.13,-67.93,58.63,118.51,-16.55
-1.77,-1.01,-1.34,-0.05,0.06,-1.28,-0.84,-0.49,0.76,1.9,-83.94,-6.15,-97.26,-209.48
1.39,1.01,-0.05,-0.31,-0.51,-0.11,1.12,0.52,0.14,-0.3,309.32,228.29,283.87,292.44
0.29,-0.72,1.45,-0.78,-0.26,-1.21,1.07,-0.88,-0.59,1.24,72.12,148.06,94.97,-37.59
-1.39,-0.21,1.04,0.32,1.4,-0.36,0.68,-1.38,0.03,0.04,23.9,98.71,6.36,-33.63
-0.03,0.56,-0.94,0.4,-0.72,0.34,-0.47,-0.1,-0.24,-2.27,-48.93,-138.63,-61.79,-7.87
-1.17,-0.17,0.27,-1.29,-0.04,0.82,0.52,2.16,1.34,0.77,369.11,271.93,317.37,271.41
-0.83,1.21,-0.38,2.54,-0.15,0.32,-0.77,-0.17,0.12,0.76,220.64,237.8,244.5,320.18
2.5,-1.06,0.79,-0.03,1.11,0.96,-2.84,0.82,-2.52,1.06,29.72,153.24,134.57,239.58
-2.05,0.97,-1.4,-0.82,1.03,-0.26,-1.23,0.35,-0.15,-0.06,28.39,-65.83,-91.97,-160.58
-0.61,-1.25,-0.17,-0.59,-1.38,-0.83,-0.38,1.24,-0.24,-0.33,-80.15,-90.93,15.93,-132.14
0.56,0.65,-0.62,0.51,-1.52,-1.18,-1.84,0.29,0,-0.19,-77.74,-41.59,96.95,52.26
0.16,1.07,0.56,0.39,0.79,-1.18,-1.31,0.76,0.55,0.38,104.35,194.93,311.11,260.01
-1.98,0.16,0.38,0.15,-0.89,1.2,-0.35,-0.39,-0.3,1.23,198.63,111.42,45.91,69.16
-0.38,1.24,0.93,1.02,0.19,-0.88,-1.48,1.72,-0.57,-1.58,33.11,54.12,286.13,205.54
-1.58,-1.08,1.41,1.71,-0.06,1.4,-2.83,-0.65,0.5,-0.13,-153.59,-3.68,19.53,170.61
-0.56,-1.95,-0.64,-1.33,1.91,-0.02,1.08,0.91,1.24,2.44,248.79,314.21,158.43,90.89
0.6,0.53,-0.49,1.2,3.02,-0.26,0.23,-0.52,0.27,-0.15,144.16,257.63,165.48,249.8
1.63,0.24,-0.58,-0.79,-1.71,-1.33,0.4,-0.54,-0.09,0.98,84.23,85.73,107.36,19.76
-0.82,-1.11,0.62,-0.08,1.29,-0.18,0.49,-0.47,0.35,0.09,12.86,100.31,33.6,5.48
-0.66,-0.85,-0.92,1.2,-0.33,1.05,1.04,1.38,0.29,-0.02,255.52,193.08,199.83,223.56
1.16,-1.92,0.1,-0.35,-0.45,-1.02,1.37,0.66,-0.89,-1.29,-83.7,-38.21,15.32,-114.41
0.43,0.82,-1.73,-0.97,-0.05,-1.01,0.58,0.11,1.52,-2.35,-22.36,-94.49,-11.16,-35.99
-0.13,0.34,1.86,0.05,-1.63,1.11,-0.58,0.01,-1.84,-2.44,-27,-114.04,14.41,41.95
-1.86,-0.66,0.41,0.68,0.77,-1.1,-0.26,-0.03,-0.68,0.82,-33.68,46.94,23.78,-126.65
-0.23,0.8,-0.95,0.14,1.4,-0.1,-1.44,-0.1,0.4,0,48.05,78.87,57.87,116.41
-0.82,1.41,-1.15,-0.87,-0.65,-1.68,1.14,-0.42,0.66,0.28,135.44,38.71,51.75,-102.59
0.53,-0.63,0.04,0.17,-1.35,1.54,-0.82,1.58,-1.51,-0.02,183.16,97.01,153.46,194.57
0.79,0.13,-0.56,0.92,0.65,-0.32,0.46,-0.05,-0.58,-1.77,1.99,16.99,51.77,70.89
-0.49,0.61,-0.3,-1.76,-0.28,0.81,0.11,-0.05,-1.03,0.45,210.14,43.07,-38.26,-51.64
-0.43,-1.33,-0.34,0.8,-0.49,-2.08,0.31,1.02,0.43,0.91,-9.93,103.76,183.96,-28.75
-0.33,-0.58,-0.37,-1.73,-0.14,-0.99,-0.09,0.13,0.07,0.74,0.45,-4.88,-22.04,-157.23
-1.69,-0.52,0.79,-0.77,-0.57,-0.49,1.8,0.95,-0.41,1.39,285.23,207.22,177.86,-11.16
-0.47,-0.94,-0.7,0.2,-0.68,1.01,1.02,-0.54,2.38,-1.46,36.83,17.05,19.95,143.33
0.09,-1.87,-0.9,-0.89,-0.2,-0.78,-0.89,0.48,0.03,-0.08,-188.15,-121.14,-103.31,-190.14
0.67,-1.14,0.16,-0.39,-0.83,0.28,0.34,2.01,0.1,-0.05,177.4,154.9,256.22,215.73
-0.15,-0.37,0.43,1.89,-1.33,1.38,-1.36,-1.06,-0.27,0.19,16.39,66.07,45.33,218.33
1.23,-0.88,0.45,-0.33,-0.88,-0.78,1.45,-1.69,0.3,-0.25,-28.56,43.44,2.11,-16.43
-0.3,-1.45,-0.27,-0.77,0.83,0.04,-0.92,1.53,0.09,0.02,-4.58,41.2,63.17,13.69
-0.04,-1.87,0.99,-0.22,0.32,0.74,1.51,0.92,-0.89,-0.86,102.17,101.56,90.28,55.44
-0.05,-0.22,0.07,0.41,1.47,-1.05,-0.33,0.98,-0.1,-0.52,15.08,103.69,174.52,77.96
-0.74,-1.45,0.65,-2.55,0.86,-0.19,2.27,1.53,1.47,0.05,233.14,187.99,192.12,41.48
0.15,-0.31,0.91,2.62,-0.67,0.01,-0.42,-0.04,1.25,0.27,109.35,259.36,348.35,437.27
-0.86,-0.71,1.63,0.63,0.14,0.16,-1.25,0.94,0.77,0.7,86.14,202.99,287.9,285.01
0.6,-0.1,1.17,0.98,-2.06,0.9,-1.31,2.96,-1.58,-0.33,229.03,163.08,401.66,372.59
0.33,-0.61,-0.59,0.3,1.38,1.09,-1.5,0.98,-0.07,0.2,104.85,139.02,123.52,225.72
0.32,-0.02,-0.71,1.27,0.02,0.43,-0.33,-0.81,-1.1,0.78,110.06,128.29,16.76,91.01
1.07,0.36,0.75,-0.82,-2.11,-0.03,1.73,-1.04,1.35,0.88,279.14,252.64,245.77,266.12
0.12,0.09,0.58,0.93,-2.09,-2.74,-0.13,-0.57,0.27,0.94,-69.29,57.02,177.04,-12.2
-0.03,-2.05,-0.61,0.42,1.05,0.94,0.13,-0.73,-0.53,-1.26,-147,-82.68,-198.6,-108.24
0.28,0.31,-1.42,-0.47,0.87,0.01,-0.97,0.8,0.08,0.82,151.74,133.62,108.33,117.64
1.39,-0.31,0.97,-0.66,0.23,-0.86,2.01,-0.14,-0.38,-0.41,162.22,178.14,190.67,109.03
-0.25,0.49,-0.99,0.28,0.84,-1.57,0.05,-0.21,0.88,0.64,67.65,126.53,111.11,38.45
-0.04,-0.08,-1.32,1.13,-0.65,-0.72,-0.41,-1.64,-0.89,-1.18,-214.05,-188.28,-218.71,-216.75
-1.39,0.18,1.42,0.09,0.93,0.02,0.87,1.28,-0.89,-0.34,239.25,191.69,239.38,126.66
2.04,0.05,-1.48,-1.22,-0.53,-0.81,0.46,-1.08,0.68,0.19,37.39,36.35,-17.49,5.59
0.75,-0.26,0.45,1.31,-0.41,1.08,0.21,1.48,-0.28,-0.52,259.46,243.6,338.1,398.21
-0.36,0.73,0.94,-1.07,1.11,0.92,-0.6,1.19,0.14,-0.29,248.8,192.27,235.38,260.44
0.88,0.09,0.4,0.54,0.19,0.56,-0.45,-1.19,-0.5,0.75,117,172.32,90.52,200.64
-0.61,-1.26,-0.06,-0.53,0.5,0.36,0.23,-0.26,0.78,-1.08,-70.27,-35.22,-62.99,-39.01
0.75,-0.61,-1.74,0.26,-0.85,-2.94,-0.94,0.21,0.31,0.22,-221.97,-100.96,-12.23,-187.68
-0.22,-0.84,-0.06,0.83,-0.73,-1.26,0.14,-0.33,-0.2,0.56,-48.29,42.67,55.15,-44.06
-0.76,0.26,0.47,-0.86,0.27,0.03,1.71,0.65,0.72,0.27,322.98,236.76,235.83,157.05
0.22,-0.32,0.59,0.66,0.3,0.77,-1.32,0.13,1.67,0.04,78.54,186.52,240.15,381.23
0.88,0.25,0.38,-1.86,-0.89,-0.65,0.09,0.21,0.58,-1.02,20.27,-2.09,82.96,26.13
0.19,1.82,-0.68,-1.46,0.37,-1.18,-0.85,0.96,1.33,-0.52,138.54,72.99,211.81,137.27
-0.98,-0.71,0.14,0.23,2.02,1.01,-0.04,-0.75,-0.23,0.25,76.93,122.34,-31.34,48.17
0,-0.45,1.16,1.44,0.68,-0.75,0.65,0.27,-0.21,-0.55,71.62,173.34,239.18,181.46
-0.23,1.03,0.49,-0.41,-0.07,-1.08,0.18,-0.45,-0.5,-0.4,57.54,43.01,73.74,-17.7
-0.18,-0.97,-0.89,0.01,0.05,-0.61,0.28,-0.22,1.93,1.39,99.3,175.1,127.19,113.28
-0.39,-0.28,0,-1,-2.21,0.48,-0.09,-0.53,-0.86,-0.74,-34.9,-147.98,-135.32,-152.03
-1.72,-1.28,-0.68,2.87,-1.21,-0.12,-0.01,0.3,-0.96,0.66,6,42.59,40.23,-17.35
0.31,-2.01,-0.68,0.11,-1.37,-1.09,-0.51,0.7,0.52,-0.39,-182.94,-102.37,0.24,-96.44
1.07,-1.05,0.54,-0.15,-0.9,-0.24,0.92,0.2,1.1,0.24,119.34,191.06,240.6,228.16
-0.4,-1.09,-0.53,-0.08,0.46,-0.36,-0.07,-1.07,2.63,1.07,3.16,139.4,60.78,109.36
-1.78,0.2,-0.04,2.01,0.2,0.62,-0.73,0.01,0.53,0.35,121.85,158.48,159.56,213.8
-0.57,-0.22,1.53,-0.61,-0.18,-1.07,-0.03,-0.79,-0.27,-0.16,-71.97,3.73,16.56,-82.29
-1.26,-2.09,0.38,-0.94,0.4,0.97,1.22,-1.19,0.35,-0.59,-50.83,-51.1,-198.32,-168.73
1.61,-0.36,0.05,0.62,0.45,-0.67,-1.13,-0.96,0.6,-0.35,-103.04,58.82,77.23,158.84
0.79,-0.52,-1.44,-0.79,0.15,0.54,1.19,0.65,-0.55,0.22,232.13,136.26,48.47,45.5
-0.46,-0.35,-0.36,-0.72,-0.11,0,1.69,1.6,0.81,-0.35,268.04,172.74,229.48,132.4
-1.35,0.49,0.01,0.37,1.76,-1.89,1.19,0.45,-0.37,0,114.22,140.33,140.29,-58.1
0.33,-0.25,1.93,-1.33,1.4,-0.45,0.31,0.41,2.24,-0.82,93.77,218.46,298.41,296.22
0.32,0.89,1.18,0.25,-1.67,-2.06,0.14,0.42,-1.68,1.38,150.61,174.29,273.72,39.14
0.47,-0.38,1.2,1.33,-1.26,0.97,0.74,-0.92,0.66,-0.47,133.54,180.69,198.25,327.15
0.06,-0.59,0.4,-2.24,1.22,-0.18,-1.28,-0.2,-0.11,-0.26,-103.51,-64.5,-102.37,-127.84
0.65,1.56,1.16,-0.27,-0.19,-0.63,0.75,0.63,0.29,-1.26,219.29,176.85,330.41,279.16
0.07,0.29,-0.89,-0.68,-0.11,0.8,-0.21,-0.17,0.23,0.95,216.92,140.26,63.71,127.69
-1.99,0.19,-1.47,0.28,-0.77,-0.73,0.27,-1.06,-0.32,0.74,5,-62.73,-159.94,-260.95
-0.04,-0.41,0.69,0.5,1.01,-0.34,0.62,0.77,0.61,-0.85,99.78,170.08,242.69,206.48
-0.1,-0.21,0.56,-0.73,-0.44,-0.54,-2.32,-0.38,0.27,0.54,-121.38,-33.83,6.2,2.03
-0.09,0.38,-1.24,0.21,0.22,0.02,0.1,0.28,0.42,0.07,162.18,118.36,103.49,118.05
0.04,0.11,-0.68,1.3,-0.03,0.23,0.06,1.01,1.16,0.17,228.92,240.02,302.4,352.65
2.42,-0.52,0.13,-0.06,0.44,1.32,-0.97,0.1,1.25,-0.52,110.46,199.83,225.59,453.07
0.64,0.72,-0.98,0.15,0.88,0.88,0.54,1.81,0.44,-2.99,185.78,60.29,199.6,268.34
0.7,-1.14,0.7,-0.66,-1.48,1.95,-0.74,0.28,0.62,0.8,179.75,164.34,162.35,305.83
1.57,1.71,1.52,-1.31,0.21,0.16,-0.26,-0.81,-0.61,-1.82,83.51,50.71,114.34,182.09
1.85,0.69,0.14,-0.76,-1.31,0.44,-0.23,-0.08,1.93,-0.63,168.6,155.25,250.34,383.52
-1.3,0.15,-0.93,-0.5,1.41,-0.45,-0.53,1.6,1.9,-0.64,91.67,77.47,160.95,119.78
-0.15,-1.1,0.41,0.99,-0.63,0.76,0.27,-0.98,0.91,-2.76,-163.41,-121.12,-70.74,50.47
1.38,1.03,-0.42,0.53,-0.6,0.26,0.41,-0.71,-0.15,-0.82,152.48,108.07,126.26,225.51
0.13,-1.29,1.22,1.19,-0.09,1.03,0.05,0.84,-1.12,-0.63,86.53,127.28,171.22,208.3
0.6,1.25,-0.99,0.14,-0.38,1.37,-0.89,0.75,-1.36,1.07,346.17,208.58,174.12,268.86
-1.78,1.09,0.95,0.33,-1.5,-0.79,-0.53,0.2,1.08,-0.35,66.38,38.97,200.62,112.69
-1.29,-0.28,-0.21,0.43,1.32,0,-0.52,-1.26,0.51,0.82,5.46,80.19,-43.66,-7.51
0.8,-0.54,-0.59,0.81,-0.06,-0.09,0.13,1.18,-1.57,-0.87,55.55,44.48,101.55,61.62
1.07,0.34,1.28,-0.23,-0.07,-0.31,0.79,0.37,0.32,0.63,279.49,314.15,359.41,338.68
-0.7,2.46,-0.61,-0.5,-0.9,1.37,0.25,-2.08,1.05,1.29,379.32,208.17,74.99,247.62
-1.49,-1.96,0.99,2.05,-0.37,0.79,-0.11,1.45,-0.56,1.06,144.62,216.67,240.12,213.79
0.7,-0.18,-0.27,-1.62,1,0.86,0.17,-1,0.63,0.78,164.74,161.26,13.06,114.27
0.62,0.32,-0.16,-1.71,-1.62,0.33,2.41,-1.3,0.55,1.26,340.65,207.09,83.63,80.7
0.44,0.87,0.85,0.61,-0.85,-0.96,0.62,-0.11,-1.05,0.38,177.84,172.9,229.42,137.34
-0.59,-1.33,-0.42,-0.07,-0.25,-0.39,-0.63,0.29,-0.88,1.51,2.05,48.82,-15.39,-107.27
-1.7,-0.54,0.7,-0.36,-0.5,-1.23,-0.63,-0.31,-0.88,-0.16,-164.11,-132.3,-100.14,-275.28
-0.28,0.07,0.06,1.17,0.33,0,-0.9,-0.46,0.89,1.71,153.42,252.82,212.89,275.25
-0.11,-0.94,-0.62,-0.7,0.49,-0.57,-1.42,0.75,-0.76,-0.2,-121.96,-83.98,-70.07,-137.98
-0.11,-0.43,-1.41,0.23,-0.58,0.28,1.38,1.5,-0.3,-1.91,119.7,-18.67,58.34,17.01
-0.93,-1.06,0.77,0.21,-0.57,0.13,-1.35,1.47,0.02,0.31,11.14,69,172.69,107.33
-0.38,-1.62,1.3,-0.53,-1.7,0.07,0.35,2.44,0.97,-0.19,142.67,142.9,332.91,214.31
-0.6,0.46,1.1,0.73,-1.01,-0.13,0.92,-0.29,-2,0.92,229.28,178.02,145.1,56.93
0.78,1.37,-0.61,-1.73,1.17,-0.91,-0.53,2.28,0.69,-0.61,226.98,159.92,307.55,209.93
1.59,0.77,0.24,0.77,0.39,0.41,-0.51,-0.48,0,-1.81,36.6,71.18,138.15,276.07
-0.3,-0.92,1.11,-0.31,0.49,-0.36,-1.46,0.39,-0.38,0.68,-38.86,71.82,101.09,48.4
-1.65,-0.33,-0.26,0.22,1.3,0.75,0.61,0.46,0.1,0.11,196.03,147.84,76.69,76.68
-1.06,1.14,-0.48,-0.63,2.3,0.58,-0.14,-0.4,0.37,0.1,205.75,157.77,46.68,104.42
0.43,0.39,1.27,1.14,-1.66,-0.92,-0.04,-1.62,1.11,1.12,80.18,203.53,230.48,249.43
1.07,0.14,0.69,-1.1,1.65,0.53,1.61,-0.22,-0.49,0,292.73,262.33,168.14,195.89
-0.31,1.45,-1.49,1.07,-0.29,-0.88,1.28,-0.65,-2.56,-0.91,93.73,-38.91,-83.62,-186.78
-1.06,-1.43,0.07,0.66,-0.87,0.34,-0.9,1.07,1.74,1.34,99.63,176.03,232.35,236.77
-0.89,-0.31,-0.81,-0.72,0.27,2.26,-1.16,-0.7,0.94,-0.16,67.81,5.5,-106.07,91.24
0.18,-1.01,0.3,-0.13,-1.66,-1.72,-0.32,-0.16,0.86,-0.75,-206.65,-101.98,26.78,-92.45
-0.18,2,0.47,-0.65,0.93,-1.54,-1.42,2.59,-0.4,-0.86,152.34,120.94,353.87,182.03
-0.56,0.84,0.71,0.59,-1.28,1.1,-1.91,-0.4,0.33,1.02,148.11,143.29,171.24,281.78
-2.18,0.87,0.29,-1.53,0.01,-0.09,1,1.48,0.51,1.12,378.7,227.76,242.5,76.38
0.92,-0.1,-0.83,1.92,-1.52,0.27,0.87,-1.27,2.11,0.94,209.72,271.26,236.67,385.66
-0.22,-0.09,0.36,0.2,0.15,-0.24,1.3,1.03,-0.29,-0.14,225.7,197.87,239.64,156.35
1.99,1.21,1.24,-0.62,0.17,0.92,0.11,1.33,-0.95,-0.46,380.94,301.35,397.6,446.07
0.53,-0.27,0.05,-1.15,0.82,0.08,-0.13,1.4,0.15,0.22,187.58,176.39,211.05,178
0.92,0.71,-0.85,-1.7,-0.92,-0.65,-0.4,-0.32,-1.87,-0.04,12.71,-89.74,-104.97,-194.79
1.39,0.14,-2.66,-0.4,-1,0.4,-0.07,0.63,0.57,-0.1,161.62,44.04,65.43,131.64
-0.56,0.65,-1.33,-0.58,0.16,0.38,-0.16,0.15,-1.47,0.08,131.06,-6.42,-76.04,-94.63
-0.88,0.7,-0.07,-1,-1.54,1.84,-0.9,1.33,-0.17,1.2,360.98,176.98,195.41,242.07
-0.09,-0.46,0.71,-0.87,-0.31,0.25,0.65,-0.59,-0.57,1.72,206.38,198.7,87.41,52.53
0.3,0.48,0.3,2.01,0.94,-0.24,1.01,-0.23,0.66,-0.22,219.1,289.26,303.27,355.68
